GeneName,d0_siRNA,dm_siRNA,dm_NC,dm_PPARG,ins_siRNA,ins_NC,ins_PPARG
2010107E04Rik,=,=,=,=,+,=,=
2010110K18Rik,=,=,+,=,-,=,=
2010111I01Rik,=,-,-,-,=,+,=
2010204K13Rik,=,+,=,-,-,-,=
2010315B03Rik,=,=,=,=,=,=,=
2010320M18Rik,=,=,=,=,+,+,=
2200002D01Rik,=,=,=,=,+,+,=
2210008F06Rik,=,=,=,=,-,=,=
2210013O21Rik,=,=,=,=,=,=,=
2210016F16Rik,=,=,=,=,+,+,+
2210016L21Rik,=,=,=,=,=,=,=
2210408F21Rik,=,+,-,-,+,+,=
2210408I21Rik,=,=,=,=,=,=,=
2210418O10Rik,=,=,=,=,=,=,=
2300009A05Rik,=,=,=,=,+,=,=
2310001H17Rik,=,-,-,=,=,=,=
2310001K24Rik,+,+,+,+,+,+,=
2310009A05Rik,=,=,=,=,=,=,=
2310009B15Rik,=,=,=,=,=,+,=
2310010J17Rik,=,=,=,=,=,=,=
2310011J03Rik,=,=,=,=,=,+,=
2310015A10Rik,=,-,=,=,=,=,=
2310022A10Rik,=,=,=,=,=,=,=
2310022B05Rik,=,=,-,-,-,=,+
2310026L22Rik,=,=,=,=,-,=,=
2310030G06Rik,=,=,=,=,-,=,+
2310033P09Rik,=,=,=,=,=,=,=
2310034G01Rik,=,=,+,+,=,=,=
2310035C23Rik,=,=,=,=,=,=,=
2310039H08Rik,=,=,=,=,=,=,=
2310040G24Rik,=,=,=,=,+,+,=
2310057M21Rik,=,=,=,=,=,=,=
2310058D17Rik,=,=,=,=,=,=,=
2310061I04Rik,+,+,=,=,+,+,=
2410002F23Rik,=,=,=,=,-,=,=
2410004B18Rik,=,=,=,=,=,=,=
2410006H16Rik,=,=,-,-,-,=,=
2410015M20Rik,=,=,=,=,=,+,=
2410018L13Rik,=,=,=,=,-,-,=
2410022M11Rik,=,=,=,=,=,=,=
2410089E03Rik,=,=,=,=,-,-,=
2410131K14Rik,=,=,=,+,=,=,=
2500002B13Rik,=,=,=,+,+,+,=
2500004C02Rik,=,=,-,-,-,=,=
2510002D24Rik,=,=,=,-,=,=,=
2510009E07Rik,=,=,=,=,=,=,=
2510039O18Rik,=,=,=,=,=,=,=
2510046G10Rik,=,=,+,+,=,=,=
2610001J05Rik,=,=,=,=,=,=,=
2610002M06Rik,=,=,-,-,=,=,=
2610005L07Rik,=,=,=,=,-,=,=
2610008E11Rik,=,-,-,-,-,=,=
2610021A01Rik,=,=,=,=,=,=,=
2610027K06Rik,=,=,=,=,+,+,=
2610035D17Rik,=,-,-,+,-,=,+
2610044O15Rik8,=,=,=,=,=,=,=
2610203C20Rik,=,=,-,-,-,=,=
2610301B20Rik,=,=,=,=,=,=,=
2610306M01Rik,=,=,-,-,=,+,+
2610306O10Rik,=,=,=,+,=,=,=
2610307P16Rik,=,=,-,=,=,-,=
2610318N02Rik,=,-,=,=,-,=,=
2610507B11Rik,=,=,=,=,+,=,=
2610507I01Rik,=,=,=,=,=,=,=
2610524H06Rik,=,-,=,=,-,-,=
2610528A11Rik,=,+,=,+,+,+,=
2700012I20Rik,=,-,=,=,=,=,=
2700033N17Rik,=,-,=,=,-,-,=
2700038G22Rik,=,=,+,=,=,-,=
2700046G09Rik,=,=,=,=,=,=,=
2700049A03Rik,=,=,=,=,-,=,=
2700060E02Rik,=,=,=,=,=,=,=
2700062C07Rik,=,=,=,=,=,=,=
2700069I18Rik,=,=,=,-,=,=,=
2700081O15Rik,=,-,=,=,-,-,=
2700097O09Rik,=,=,=,=,=,=,=
2700099C18Rik,=,=,=,=,-,=,=
2810001G20Rik,=,=,=,=,=,=,=
2810002D19Rik,=,=,=,=,=,=,=
2810004N23Rik,=,=,+,=,=,=,=
2810006K23Rik,=,+,=,=,+,+,=
2810013P06Rik,=,-,=,=,-,=,=
2810021J22Rik,=,=,=,=,=,=,=
2810025M15Rik,=,=,=,=,-,=,=
2810039B14Rik,=,=,=,=,-,=,=
2810402E24Rik,=,-,=,=,=,=,=
2810403A07Rik,=,=,=,=,=,-,=
2810403D21Rik,=,=,-,-,=,=,=
2810408A11Rik,=,-,=,=,-,=,=
2810408I11Rik,=,=,+,+,=,-,=
2810410L24Rik,=,=,-,=,=,=,=
2810414N06Rik,=,=,=,=,+,+,=
2810428I15Rik,=,=,=,=,=,+,=
2810429I04Rik,=,=,=,=,+,+,=
2810430I11Rik,=,=,=,=,-,-,=
2810433D01Rik,=,=,-,-,-,=,+
2810442N19Rik,=,-,=,=,-,=,=
2810474O19Rik,=,=,=,=,+,=,=
2900009J06Rik,=,=,=,=,=,=,=
2900052L18Rik,=,=,=,-,=,=,=
2900076A07Rik,=,=,=,=,=,=,=
2900089D17Rik,=,=,=,-,=,=,=
2900093K20Rik,=,=,=,=,=,=,=
2900097C17Rik,=,=,=,=,=,=,=
3-Mar,=,=,=,=,=,=,=
3000002C10Rik,=,=,=,=,=,-,=
3010001F23Rik,=,-,=,=,-,=,=
3110001I22Rik,=,=,=,=,=,+,=
3110002H16Rik,+,=,=,+,+,+,=
3110009E18Rik,=,=,=,=,=,=,=
3110040N11Rik,=,=,=,=,=,=,=
