GeneName,d0_siRNA,dm_siRNA,dm_NC,dm_PPARG,ins_siRNA,ins_NC,ins_PPARG
Cox7c,=,=,=,=,+,+,=
Cox8a,=,=,=,=,+,+,=
Cp,=,=,-,-,+,+,+
Cpa2,=,=,=,=,+,+,+
Cpa3,=,=,=,=,+,+,+
Cpd,=,=,=,=,+,=,=
Cpe,=,=,=,=,-,=,=
Cpeb1,=,=,=,=,=,+,=
Cpeb2,=,=,=,=,+,+,=
Cpeb3,=,=,-,-,+,+,+
Cpeb4,=,+,=,=,+,+,=
Cped1,=,=,-,-,+,+,+
Cpne1,=,=,=,+,=,=,=
Cpne2,=,=,-,-,=,=,=
Cpne3,=,=,=,=,=,=,=
Cpne8,=,=,-,=,=,=,=
Cpox,=,=,=,=,=,=,=
Cpped1,=,=,-,-,=,+,+
Cpq,=,-,-,-,=,+,=
Cpsf1,=,=,=,=,=,=,=
Cpsf2,=,=,=,=,=,=,=
Cpsf3,=,=,=,=,=,=,=
Cpsf4,=,=,=,=,=,-,=
Cpsf6,=,=,=,=,=,=,=
Cpsf7,=,=,=,=,=,=,=
Cpt1a,=,+,=,-,+,=,=
Cpt1b,=,=,=,=,=,=,=
Cpt1c,=,-,-,=,-,=,=
Cpt2,+,+,=,=,+,+,=
Cptp,=,=,=,=,=,=,=
Cr1l,=,=,=,=,+,+,=
Cracr2b,=,=,=,=,=,=,=
Cradd,=,=,=,=,+,+,=
Cramp1l,=,=,=,=,=,=,=
Crat,+,+,=,=,+,+,=
Crbn,=,=,-,-,=,+,=
Crcp,=,=,=,=,=,=,=
Creb1,=,=,=,=,=,=,=
Creb3,=,=,=,=,=,=,=
Creb3l1,=,=,-,-,-,=,=
Creb3l2,=,=,=,=,-,=,=
Creb5,=,=,=,=,=,=,=
Crebbp,=,=,=,=,-,=,=
Crebl2,=,=,-,-,+,+,=
Crebrf,=,-,-,-,=,+,=
Crebzf,=,=,=,=,=,=,=
Creg1,=,=,=,=,=,=,=
Creld1,=,=,-,=,=,=,=
Creld2,+,=,+,+,=,=,=
Crem,=,=,+,+,+,=,=
Crim1,=,-,-,-,-,=,=
Crip2,=,=,=,=,=,=,=
Cript,=,=,=,=,+,=,=
Crispld2,=,=,=,=,-,=,=
Crk,=,=,=,=,=,=,=
Crkl,=,=,=,=,=,=,=
Crlf1,=,-,=,+,-,-,=
Crlf2,=,=,-,-,=,=,+
Crlf3,=,-,=,=,-,=,=
Crls1,=,+,=,=,+,+,=
Crnde,=,=,=,=,-,=,=
Crnkl1,=,=,=,=,=,=,=
Crocc,=,=,=,=,-,=,=
Crocc2,=,-,+,+,-,=,=
Crot,=,=,=,=,+,+,=
Crtap,=,=,=,=,-,=,+
Crtc1,=,=,=,=,-,=,=
Crtc2,=,=,=,=,=,=,=
Crtc3,=,=,=,=,=,=,=
Cry1,=,=,=,=,=,=,=
Cry2,=,=,-,-,+,+,=
Cryab,-,=,-,-,-,+,+
Crybg1,=,=,+,+,-,-,=
Crybg3,=,=,=,=,-,-,=
Crygn,=,=,=,-,-,=,+
Crygs,-,=,=,-,-,+,+
Cryl1,=,=,-,-,-,+,+
Cryz,=,-,=,=,=,=,=
Cryzl1,=,=,-,=,=,=,=
Cs,=,=,=,+,+,+,=
Csad,=,=,=,=,+,+,=
Csde1,=,=,=,=,=,=,=
Cse1l,=,=,+,+,=,=,=
Csf1,=,-,-,-,-,=,-
Csf2ra,=,=,=,-,=,+,=
Csgalnact1,=,=,=,+,-,=,=
Csgalnact2,=,=,=,=,-,=,=
Csk,=,=,=,=,+,+,=
Csnk1a1,=,=,=,=,=,=,=
Csnk1d,=,=,=,=,=,=,=
Csnk1e,=,=,=,=,=,=,=
Csnk1g1,=,=,-,=,-,=,=
Csnk1g2,=,=,=,=,=,=,=
Csnk1g3,=,=,=,=,=,=,=
Csnk2a1,=,=,=,=,=,=,=
Csnk2a2,=,=,=,=,=,=,=
Csnk2b,=,=,=,=,+,=,=
Cspg4,=,+,=,=,=,+,+
Cspp1,=,=,=,=,-,-,=
Csrnp1,=,=,=,=,+,=,=
Csrnp2,=,=,=,=,=,=,=
Csrp1,=,=,=,=,=,=,=
Csrp2,-,-,+,+,-,=,-
Cst3,=,=,-,-,-,+,+
Cstad,-,-,-,-,-,=,+
Cstb,=,=,=,+,+,+,=
Cstf1,=,=,=,=,=,=,=
Cstf2,=,=,+,=,=,=,=
Cstf2t,=,=,=,=,-,=,=
Cstf3,=,=,=,=,=,=,=
CT009486.1,=,=,=,=,=,=,=
CT009711.2,=,+,=,=,+,+,+
CT009713.5,=,+,=,=,+,+,+
CT009718.1,=,=,-,-,-,=,=
CT009718.2,=,=,=,=,-,=,=
CT009718.3,=,-,-,-,-,=,=
CT009718.4,=,=,-,-,-,=,=
CT009718.5,=,=,=,-,-,=,=
CT009757.1,=,=,=,=,-,=,=
CT010467.1,=,=,=,=,=,+,=
CT025531.1,=,=,=,=,-,=,-
CT025579.1,=,=,=,=,=,=,=
CT030146.2,=,=,=,=,-,=,=
CT030170.4,=,=,=,=,-,=,=
CT030173.1,=,=,+,+,-,-,=
CT030185.2,=,=,=,=,-,=,=
CT030240.1,=,=,-,-,-,=,=
CT033761.1,=,=,=,=,=,+,=
CT573034.2,=,=,=,=,=,=,+
CT954323.3,=,=,=,=,=,=,=
Ctage5,=,=,=,=,+,=,=
Ctbp1,=,=,=,=,=,=,=
Ctbp2,=,=,=,=,=,=,=
Ctbs,=,-,-,-,=,=,=
Ctc1,=,=,=,=,-,=,=
Ctcf,=,=,=,=,=,=,=
Ctdnep1,=,=,=,=,=,=,=
Ctdp1,=,=,=,=,=,=,=
Ctdsp1,=,=,=,=,=,=,=
Ctdsp2,=,=,-,-,-,=,=
Ctdspl,=,=,=,=,=,+,=
Ctdspl2,=,=,=,=,-,=,=
Ctf1,=,=,-,-,-,=,+
Ctgf,+,=,-,-,-,=,=
Cth,+,+,=,+,+,+,=
Ctif,=,-,=,=,=,=,=
Ctla2a,=,=,+,=,-,=,=
Ctnna1,=,=,=,=,=,=,=
Ctnnal1,=,-,=,-,-,+,+
Ctnnb1,=,=,=,=,-,=,=
Ctnnbip1,=,=,=,=,=,=,=
Ctnnbl1,=,=,=,=,=,=,=
Ctnnd1,=,=,=,=,-,=,=
Ctns,=,=,=,=,=,=,=
Ctps,=,=,=,=,=,-,=
Ctps2,=,=,=,=,+,+,=
Ctr9,=,=,=,=,=,=,=
Ctsa,-,-,-,-,=,+,=
Ctsb,=,=,=,=,+,+,=
Ctsc,=,+,=,=,+,+,+
Ctsd,=,=,=,=,+,+,=
Ctsf,=,=,-,-,=,+,=
Ctsh,=,=,=,-,-,=,=
Ctsk,-,-,-,-,-,=,+
Ctsl,=,-,=,=,=,=,-
Ctso,=,-,-,-,=,+,=
Ctsz,=,=,=,=,=,+,=
Cttn,=,=,=,=,=,=,=
Cttnbp2nl,=,=,=,=,-,=,=
Ctu1,=,=,=,=,=,=,=
Ctu2,=,=,+,=,=,=,=
Ctxn1,-,-,-,-,-,=,=
Cuedc1,=,=,-,=,-,=,=
Cuedc2,=,=,-,=,=,=,=
Cul1,=,=,=,=,=,=,=
Cul2,=,=,=,=,+,=,=
Cul3,=,=,=,=,+,=,=
Cul4a,=,=,=,=,=,=,=
Cul4b,=,=,=,=,=,=,=
Cul5,=,=,=,=,=,=,=
Cul7,=,-,-,-,-,=,=
Cul9,=,-,=,=,-,-,=
Cuta,=,=,=,=,=,+,+
Cutc,=,=,=,=,+,+,=
Cux1,=,=,=,=,=,=,=
Cwc15,=,=,=,=,=,=,=
Cwc22,=,=,=,=,=,=,=
Cwc25,=,=,=,=,=,=,=
Cwc27,=,=,-,-,=,=,=
Cwf19l1,=,=,=,=,=,=,=
Cwf19l2,=,=,=,=,=,=,=
Cx3cl1,=,-,=,+,-,=,=
Cxcl1,+,=,-,=,=,=,=
Cxcl10,+,=,-,-,+,=,=
Cxcl12,=,=,-,-,-,=,=
Cxcl13,=,=,=,=,+,+,=
Cxcl15,-,=,-,-,-,=,=
Cxcl16,=,-,-,-,-,=,=
Cxcl2,=,=,+,=,+,=,=
Cxcl5,=,=,-,=,-,-,=
Cxcl9,=,+,=,-,+,+,=
Cxx1a,=,+,+,=,+,=,=
Cxx1b,+,+,+,=,+,=,=
Cxx1c,=,=,=,=,=,=,=
Cxxc1,=,=,=,=,=,=,=
Cxxc5,=,=,=,=,-,=,=
Cyb561a3,+,=,=,+,=,=,=
Cyb561d1,=,=,-,=,=,=,=
Cyb561d2,=,=,-,-,+,+,+
Cyb5a,=,=,=,=,+,+,=
Cyb5b,+,+,=,=,+,+,=
Cyb5d1,=,=,=,=,+,=,=
Cyb5d2,=,=,=,=,=,+,=
Cyb5r1,=,+,+,+,+,=,=
Cyb5r3,=,=,=,=,+,+,=
Cyb5r4,=,=,=,=,+,=,=
Cyb5rl,=,=,=,=,+,=,=
Cyba,=,=,-,-,-,=,=
Cyc1,=,=,+,+,+,+,=
Cycs,+,+,+,+,+,=,=
Cyfip1,=,=,=,=,=,=,=
Cygb,+,+,-,-,=,=,=
Cyhr1,=,=,=,=,=,+,=
Cyld,=,=,-,=,=,+,=
Cyp11a1,=,=,=,=,+,+,=
Cyp1b1,=,=,-,-,-,-,=
Cyp20a1,=,=,=,=,=,=,=
Cyp26b1,=,=,=,=,-,=,+
Cyp27b1,=,=,=,=,=,=,=
Cyp2ab1,=,+,+,=,+,=,=
Cyp2c44,=,+,=,-,+,+,=
Cyp2d22,=,=,=,=,=,=,=
Cyp2f2,=,+,+,-,+,+,+
Cyp2j6,=,=,=,=,=,+,=
Cyp2j9,=,-,-,-,=,+,=
Cyp2u1,=,=,=,=,+,+,=
Cyp39a1,=,=,-,-,-,+,+
Cyp46a1,=,-,=,=,-,=,=
Cyp4f13,=,=,=,=,=,+,=
Cyp4f14,=,-,=,=,-,+,+
Cyp4f16,=,=,=,=,=,=,=
Cyp4f17,=,=,=,=,+,+,=
Cyp4v3,=,=,-,=,+,+,=
Cyp51,=,=,=,=,+,+,=
Cyp7b1,=,-,-,=,-,-,=
Cyr61,=,=,-,-,-,=,=
Cystm1,=,=,=,=,+,=,=
Cyth1,=,+,+,=,+,+,=
Cyth2,=,=,=,=,=,+,=
Cyth3,=,=,-,-,+,+,=
Cytl1,=,=,-,=,-,+,+
D030028A08Rik,=,=,=,=,=,=,=
D030056L22Rik,=,=,+,=,=,=,=
D10Jhu81e,=,=,=,=,+,+,=
D11Wsu47e,=,=,-,=,=,=,=
D130017N08Rik,=,-,=,=,-,=,=
D130020L05Rik,=,=,=,=,=,=,=
D130040H23Rik,=,-,=,=,-,=,=
D16Ertd472e,=,=,+,+,=,=,=
D17H6S53E,=,=,=,=,=,=,=
D17Wsu92e,=,=,=,=,+,+,=
D1Ertd622e,=,=,=,=,+,=,=
D230017M19Rik,=,=,=,=,-,=,=
D230025D16Rik,=,=,=,=,=,=,=
D2Bwg1423e,=,=,=,=,-,=,=
D2hgdh,=,=,=,=,=,=,=
D330023K18Rik,=,=,=,=,+,+,=
D330041H03Rik,=,=,=,=,=,=,=
D330050G23Rik,=,=,-,-,+,+,+
D3Ertd254e,=,=,=,=,+,=,=
D3Ertd751e,=,=,=,=,+,+,=
D430040D24Rik,=,=,=,=,-,=,=
D430042O09Rik,=,=,=,=,=,=,=
D530033B14Rik,=,=,=,=,+,+,=
D5Ertd579e,=,=,=,=,+,+,=
D5Ertd605e,=,=,=,-,=,+,+
D630024D03Rik,=,=,=,=,+,+,=
D630045J12Rik,=,=,=,=,-,=,=
D6Wsu163e,=,=,=,=,+,=,=
D730003I15Rik,=,=,=,=,+,=,=
D7Ertd443e,=,=,=,=,=,=,=
D830030K20Rik,=,=,=,=,-,=,=
D830050J10Rik,=,=,=,=,=,=,=
D8Ertd738e,=,=,=,=,+,=,=
D930016D06Rik,=,=,=,=,=,-,-
Daam1,=,=,=,=,+,+,=
Daam2,=,-,-,=,-,-,=
Dab2,=,=,-,-,-,=,=
Dab2ip,=,=,-,-,=,+,=
Dact3,=,=,=,=,-,=,+
Dad1,=,=,+,+,=,=,=
Dag1,=,=,=,=,=,+,=
Dagla,=,+,=,-,+,+,=
Daglb,+,=,+,+,+,=,=
Dalrd3,=,=,=,=,=,=,=
Dancr,=,=,=,=,=,-,=
Dand5,=,=,-,=,+,+,=
Dap,=,=,=,=,+,+,=
Dap3,=,=,+,+,+,=,=
Dapk1,+,=,=,=,+,=,=
Dapk3,=,=,=,=,+,+,=
Dapp1,=,=,-,=,-,=,+
Dars,=,=,=,=,=,=,=
Dars2,=,=,+,+,+,=,=
Daxx,+,=,-,-,=,=,=
Dazap1,=,=,=,=,=,=,=
Dazap2,=,=,-,-,=,+,=
Dbf4,+,=,+,+,-,=,=
Dbi,+,=,=,=,+,+,+
Dbil5,=,=,-,=,=,+,=
Dbn1,=,-,-,=,-,-,=
Dbndd1,=,=,=,-,=,=,=
Dbndd2,+,+,-,-,+,+,+
Dbnl,=,=,=,=,=,=,=
Dbp,=,=,-,-,=,+,+
Dbr1,=,=,=,=,=,=,=
Dbt,=,+,=,=,+,+,=
Dcaf10,=,=,=,=,+,=,=
Dcaf11,=,=,=,=,+,+,=
Dcaf12,=,=,=,=,=,+,=
Dcaf13,=,=,=,=,=,=,=
Dcaf15,=,=,=,=,-,=,=
Dcaf17,=,=,=,=,=,=,=
Dcaf4,=,=,-,-,=,=,=
Dcaf5,=,=,=,=,=,=,=
Dcaf6,=,=,-,=,+,+,+
Dcaf7,=,=,=,=,=,=,=
Dcaf8,=,=,=,=,=,=,=
Dcakd,=,=,=,=,=,=,=
Dcbld1,=,=,=,+,=,=,=
Dcbld2,=,=,=,=,=,=,=
Dcdc2b,=,=,=,=,=,=,=
Dck,=,=,+,+,-,-,=
Dclk1,=,-,-,=,-,-,=
Dclk2,=,-,=,=,-,=,=
Dclre1a,=,=,-,=,-,=,=
Dclre1b,=,=,+,=,=,=,=
Dclre1c,=,=,=,=,=,=,=
Dcn,=,=,=,=,=,+,+
Dcp1a,=,=,=,=,=,-,=
Dcp1b,=,=,-,-,=,+,=
Dcp2,=,=,=,=,-,=,=
Dcps,=,=,-,-,-,=,+
Dcst1,=,-,=,=,=,=,=
Dcst2,=,+,=,=,+,+,=
Dctd,=,=,+,+,-,-,=
Dctn1,=,=,=,=,=,=,=
Dctn2,=,=,=,=,=,+,=
Dctn3,=,=,=,=,+,+,=
Dctn4,=,=,=,=,=,=,=
Dctn5,=,=,=,=,=,=,=
Dctn6,=,=,-,-,=,=,=
Dctpp1,=,=,+,=,=,=,=
Dcun1d1,=,=,=,=,+,=,=
Dcun1d2,=,=,+,+,+,=,=
Dcun1d3,=,=,=,=,+,+,=
Dcun1d4,=,=,=,=,=,+,=
Dcun1d5,=,=,=,=,=,=,=
Dcxr,=,=,-,-,=,+,=
Dda1,=,=,=,=,=,=,=
Ddah1,+,+,+,+,+,+,=
Ddah2,=,-,-,-,-,=,=
Ddb1,=,=,=,=,=,=,=
Ddb2,=,=,=,=,-,=,=
Ddhd1,=,=,=,-,=,=,=
Ddhd2,=,=,=,=,=,=,=
Ddi2,=,=,+,+,=,=,=
Ddias,=,=,=,=,-,=,=
Ddit3,+,+,=,=,+,=,=
Ddit4,=,=,+,+,-,-,=
Ddit4l,=,-,-,=,-,=,=
Ddo,=,=,=,=,+,+,=
Ddost,=,=,=,=,-,=,=
Ddr1,=,=,-,-,=,+,+
Ddr2,=,-,=,+,-,=,=
Ddrgk1,=,=,=,=,+,=,=
Ddt,=,=,=,=,+,+,=
Ddx1,=,=,=,+,=,=,=
Ddx10,=,=,=,=,=,-,=
Ddx11,=,=,+,+,-,=,=
Ddx17,=,=,=,=,-,=,=
Ddx18,=,=,=,=,=,-,=
Ddx19a,=,=,=,=,=,=,=
Ddx19b,=,=,=,=,+,=,=
Ddx20,=,=,=,=,=,=,=
Ddx21,=,+,+,=,=,-,=
Ddx23,=,=,=,=,=,=,=
Ddx24,=,=,=,=,=,=,=
Ddx27,=,=,+,=,=,=,=
Ddx28,=,+,=,=,+,+,=
Ddx31,=,+,=,=,=,-,=
Ddx39,=,=,+,=,=,=,=
Ddx39b,=,=,=,=,=,=,=
Ddx3x,=,=,=,=,=,=,=
Ddx3y,=,=,=,-,=,=,=
Ddx41,=,=,=,=,=,=,=
Ddx42,=,=,=,=,=,-,=
Ddx46,=,=,=,=,=,=,=
Ddx47,=,=,=,=,=,=,=
Ddx49,=,=,=,=,=,=,=
Ddx5,=,=,=,=,=,=,=
Ddx50,=,=,=,=,=,=,=
Ddx51,=,=,+,=,=,=,=
Ddx52,=,=,=,-,=,=,=
Ddx54,=,=,=,=,=,=,=
Ddx55,=,=,=,=,-,-,-
Ddx56,=,=,+,=,=,=,=
Ddx58,=,=,-,-,-,=,=
Ddx59,=,=,=,=,=,=,=
Ddx6,=,=,=,=,=,=,=
Ddx60,=,=,-,-,=,=,=
Deaf1,=,=,=,=,=,=,=
Decr1,=,=,=,=,+,+,=
Decr2,=,=,=,-,=,+,=
Dedd,=,=,=,=,=,=,=
Dedd2,=,=,=,=,+,+,=
Def6,=,=,-,-,=,+,+
Def8,=,=,=,=,=,=,=
Defb25,=,=,-,=,-,+,+
Degs1,=,=,=,+,+,+,=
Dek,=,=,=,=,-,-,=
Dennd1a,=,=,=,=,=,=,=
Dennd1b,=,=,=,=,+,=,=
Dennd2a,=,-,=,=,-,=,=
Dennd2c,=,=,-,-,=,=,=
Dennd2d,=,+,-,-,+,+,=
Dennd4a,=,=,-,-,=,=,=
Dennd4b,=,=,=,-,-,=,=
Dennd4c,=,=,=,=,=,=,=
Dennd5a,=,=,=,=,=,=,=
Dennd5b,=,=,=,=,+,=,-
Dennd6a,=,=,=,=,=,=,=
Dennd6b,=,=,-,-,-,=,=
Denr,=,=,=,=,+,=,=
Depdc1a,=,=,+,=,-,=,=
Depdc1b,=,=,+,+,-,=,=
Depdc5,=,=,=,=,=,=,=
Depdc7,=,+,=,=,=,=,=
Deptor,=,=,+,+,+,=,-
Dera,=,=,=,=,+,+,=
Derl1,=,=,=,=,+,+,=
Derl2,=,=,=,=,+,+,=
Des,+,+,-,=,+,+,+
Desi1,=,=,+,+,+,=,=
Desi2,=,=,-,-,+,=,=
Det1,=,=,=,=,=,=,=
Dexi,=,=,=,=,=,=,=
Dffa,=,=,=,=,=,=,=
Dffb,=,=,=,-,-,=,=
Dfna5,=,=,=,=,+,+,-
Dgat1,+,+,+,=,+,+,=
Dgat2,+,=,=,-,+,+,+
Dgcr14,=,=,=,=,=,=,=
Dgcr2,=,=,=,=,=,=,=
Dgcr6,=,=,=,=,+,+,=
Dgcr8,=,=,=,=,-,=,=
Dgka,-,-,-,-,-,=,=
Dgkd,=,=,=,=,+,+,=
Dgke,=,=,=,=,=,=,=
Dgkh,=,=,+,+,=,=,=
Dgkq,=,=,=,=,=,=,=
Dgkz,=,=,=,=,=,=,=
Dguok,=,=,=,=,=,=,=
Dhcr24,=,=,=,=,+,+,+
Dhcr7,=,=,=,=,+,+,+
Dhdds,=,=,=,=,=,=,=
Dhdh,=,=,=,=,+,+,=
Dhfr,=,=,+,+,-,=,=
Dhodh,=,=,+,=,=,=,=
Dhps,=,=,=,=,=,=,=
Dhrs1,=,=,=,=,=,+,=
Dhrs11,=,=,=,=,+,+,=
Dhrs13,=,=,+,+,=,=,=
Dhrs3,=,=,=,-,+,+,+
Dhrs4,=,=,=,=,+,+,=
Dhrs7,=,=,=,=,=,=,=
Dhrs7b,=,=,+,+,+,+,=
Dhrs9,+,+,-,-,+,+,=
Dhtkd1,=,=,=,=,+,+,=
Dhx15,=,=,=,=,=,-,=
Dhx16,=,=,=,=,=,=,=
Dhx29,=,=,+,+,=,=,=
Dhx30,=,=,=,=,=,=,=
Dhx32,+,=,-,=,+,+,=
Dhx33,=,=,=,=,=,-,=
Dhx34,=,=,=,=,=,=,=
Dhx35,=,=,-,=,-,=,=
Dhx36,=,=,=,=,=,-,=
Dhx37,=,=,=,=,=,=,=
Dhx38,=,=,=,=,=,=,=
Dhx40,=,=,=,=,+,+,=
Dhx57,=,-,=,=,-,=,=
Dhx58,=,=,-,-,-,=,=
Dhx8,=,=,=,=,=,=,=
Dhx9,=,=,=,=,=,-,=
Diablo,=,=,=,=,=,=,=
Diaph1,=,=,=,=,+,+,=
Diaph2,=,+,=,=,+,=,=
Diaph3,=,=,+,=,-,=,=
Dicer1,=,+,=,=,=,-,=
Dido1,=,=,=,=,=,=,=
Diexf,=,=,=,=,=,=,=
Dimt1,=,=,=,=,-,-,=
Dio3,-,-,-,-,-,=,+
Dip2a,=,=,=,=,-,=,=
Dip2b,=,=,=,=,=,=,=
Dip2c,=,=,=,=,=,=,=
Diras2,=,=,-,=,=,+,=
Dirc2,=,=,=,=,=,=,=
Dis3,=,=,+,=,=,-,=
Dis3l,=,=,=,=,=,=,=
Dis3l2,=,=,=,=,=,=,=
Disp1,=,=,-,=,=,=,=
Dixdc1,=,=,=,-,-,=,=
Dkc1,=,+,+,=,=,=,=
Dkk3,=,-,=,+,-,=,=
Dlat,+,+,+,=,+,+,=
Dlc1,=,=,=,=,+,+,=
Dld,=,+,+,=,+,+,=
Dlec1,=,=,=,-,-,-,=
Dleu2,=,=,-,=,+,+,=
Dlg1,=,=,=,=,=,=,=
Dlg3,=,-,-,=,-,-,=
Dlg4,=,=,=,=,-,=,=
Dlg5,=,=,=,=,-,=,=
Dlgap4,=,=,=,=,=,=,=
Dlgap5,=,=,+,=,-,=,=
Dlk1,-,-,-,-,-,=,+
Dlk2,-,=,-,-,-,=,=
Dlst,=,=,=,=,+,+,=
Dlx1,-,=,=,=,-,=,=
Dlx1as,=,=,=,=,-,=,=
Dlx2,-,-,=,=,-,=,=
Dlx3,+,+,+,=,+,=,=
Dlx4,=,=,=,-,=,=,=
Dlx4os,+,+,=,-,+,+,+
Dlx5,-,-,-,=,-,=,=
Dlx6,-,-,=,-,-,=,=
Dlx6os1,=,-,-,=,-,=,=
Dmap1,=,=,=,=,=,=,=
Dmkn,=,+,+,=,+,+,+
Dmpk,=,=,-,-,+,+,+
Dmrt2,=,=,=,-,=,+,=
Dmtf1,=,=,=,=,=,=,=
Dmtn,+,+,-,-,+,+,+
Dmwd,=,=,=,=,=,=,=
Dmxl1,=,=,=,=,=,=,=
Dmxl2,=,+,=,=,+,=,=
Dna2,=,=,+,=,-,-,=
Dnaaf2,=,=,+,+,-,=,=
Dnaaf3,=,-,=,-,-,=,=
Dnaaf5,=,=,+,=,+,=,=
Dnah2,=,=,=,=,-,=,+
Dnah3,+,+,=,=,+,+,+
Dnaic2,=,-,-,=,-,=,=
Dnaja1,=,=,=,=,+,=,=
Dnaja2,=,=,=,=,=,=,=
Dnaja3,=,=,+,=,+,+,=
Dnaja4,=,=,=,=,=,=,=
Dnajb1,=,=,=,=,=,=,=
Dnajb11,=,=,+,+,=,=,=
Dnajb12,=,=,=,=,=,+,=
Dnajb14,=,=,=,=,+,=,=
Dnajb2,=,=,=,=,=,+,=
Dnajb4,=,-,=,+,=,=,=
Dnajb5,=,=,=,=,=,=,=
Dnajb6,=,=,=,+,=,-,-
Dnajb9,=,+,=,=,+,+,=
Dnajc1,=,=,=,=,=,=,=
Dnajc10,=,=,=,+,-,=,=
Dnajc11,=,=,=,=,+,=,=
Dnajc12,=,=,=,=,=,=,=
Dnajc13,=,=,=,=,=,=,=
Dnajc14,=,=,=,=,=,=,=
Dnajc15,=,=,+,=,+,+,=
Dnajc16,=,=,=,=,=,=,=
Dnajc17,=,=,-,=,-,=,=
Dnajc18,=,=,=,=,-,-,=
Dnajc19,=,=,=,=,=,=,=
Dnajc2,=,=,+,=,=,=,=
Dnajc21,=,+,=,=,=,=,=
Dnajc24,=,=,=,=,=,=,=
Dnajc25,=,=,+,+,=,=,=
Dnajc27,=,=,=,=,-,=,=
Dnajc28,=,=,-,-,+,+,=
Dnajc3,=,=,=,=,=,=,=
Dnajc30,=,=,=,=,=,=,=
Dnajc4,=,=,=,=,+,+,=
Dnajc5,=,=,=,=,+,+,=
Dnajc7,=,=,=,=,=,=,=
Dnajc8,=,=,=,=,=,=,=
Dnajc9,=,=,+,+,-,=,=
Dnal1,=,=,=,=,-,-,=
Dnal4,=,=,=,=,=,=,=
Dnase1,=,=,=,=,-,=,=
Dnase1l1,=,=,-,-,+,+,+
Dnase1l2,=,=,=,=,-,=,=
Dnase2a,=,=,-,=,=,+,=
Dnhd1,=,=,=,=,=,=,-
Dnlz,=,=,=,=,=,=,=
Dnm1,=,-,=,=,-,=,=
Dnm1l,=,=,=,=,=,=,=
Dnm2,=,=,=,=,=,=,=
Dnm3,=,-,=,=,-,=,=
Dnm3os,=,-,-,-,-,=,=
Dnmbp,=,=,=,=,=,=,=
Dnmt1,=,=,+,+,-,-,=
Dnmt3a,=,=,=,=,+,+,+
Dnpep,=,=,=,-,+,+,=
Dnph1,=,=,+,+,-,=,=
Dnttip1,=,=,=,=,=,=,=
Dnttip2,=,=,=,=,=,=,=
Doc2g,=,=,=,=,=,=,=
Dock1,=,=,=,=,-,=,=
Dock11,=,=,-,=,+,=,=
Dock4,=,=,=,=,-,=,=
Dock5,+,+,=,=,+,+,=
Dock6,=,=,-,-,-,=,=
Dock7,=,=,=,=,-,=,=
Dock9,=,+,=,-,+,+,=
Dohh,=,=,=,=,=,=,=
Dok1,+,=,-,=,-,=,=
Dok2,=,=,=,=,=,=,=
Dok4,=,=,=,=,-,=,=
Dolk,+,+,=,=,+,+,=
Dolpp1,=,+,=,=,+,=,=
Donson,=,=,+,+,=,-,=
Dopey1,=,=,=,=,=,=,=
Dopey2,=,=,=,=,+,=,=
Dot1l,=,=,=,=,+,+,=
Dpagt1,=,=,=,=,=,+,=
Dpep1,=,=,=,=,=,=,=
Dpep2,=,+,=,-,+,+,+
Dpf1,=,=,=,=,-,-,=
Dpf2,=,=,=,=,-,=,=
Dph1,=,=,=,=,=,=,=
Dph2,=,=,+,=,=,-,=
Dph3,=,=,=,=,+,=,=
Dph5,=,=,=,=,=,=,=
Dph6,=,=,=,=,=,=,=
Dph7,=,=,=,=,-,=,=
Dpm1,=,=,+,+,+,=,=
Dpm2,=,=,=,=,=,=,=
Dpm3,=,=,=,=,=,=,=
Dpp7,=,=,-,-,=,+,=
Dpp8,=,=,=,=,=,=,=
Dpp9,=,=,=,=,=,=,=
Dpy19l1,=,=,+,+,-,-,=
Dpy19l3,=,=,=,=,-,=,=
Dpy19l4,=,=,=,=,=,=,=
Dpy30,=,=,=,=,=,=,=
Dpyd,=,=,=,=,+,+,=
Dpysl2,=,=,-,=,-,=,+
Dpysl3,-,-,=,=,-,=,=
Dqx1,=,=,=,-,+,+,=
Dr1,=,=,=,=,=,=,=
Dram1,=,=,=,=,+,+,+
Dram2,=,=,=,=,+,+,=
Drap1,=,=,=,=,=,=,=
Drc1,=,=,=,=,-,=,=
Drc3,=,=,=,-,=,+,+
Drg1,=,=,=,=,=,=,=
Drg2,=,=,=,=,=,=,=
Drosha,=,=,=,=,=,=,=
Drp2,=,-,-,=,-,=,=
Dscc1,=,=,+,+,-,-,=
Dscr3,=,=,=,=,=,=,=
Dse,=,-,-,=,-,=,=
Dsel,=,=,=,=,-,=,=
Dsn1,=,=,=,=,-,=,=
Dst,=,=,=,=,=,=,=
Dstn,=,=,=,=,-,=,=
Dstyk,=,=,=,=,=,=,=
Dtd1,=,=,=,-,-,=,+
Dtd2,=,=,=,=,=,+,=
Dtl,=,=,+,+,-,-,=
Dtnb,=,=,=,=,-,=,=
Dtnbp1,=,=,=,=,=,=,=
Dtwd1,=,=,=,=,=,=,=
Dtwd2,=,=,=,=,+,+,=
Dtx2,+,+,=,=,+,+,=
Dtx3,=,-,-,-,-,=,=
Dtx3l,+,=,-,-,=,=,=
Dtx4,=,-,-,=,+,+,=
